Node1,Sign,Node2,Weight
PRKDC,-1,EIF2AK4,1
PRKDC,1,ABL1,0.4
PRKDC,1,USF1,1
PSIP1,1,ADH4,1
RASGRF1,1,RRAS2,1
RCC1,1,NUP98,1
RPS6KA5,1,MYC,1
RPS6KA5,1,PRKACA,1
RUNX1,1,ELANE,0.4
RUVBL1,1,DKC1,1
SRC,-1,DAPK1,0.6
SRC,-1,HNF4A,1
SRC,-1,HNRNPK,1
SRC,1,ABL1,0.2
SRC,1,ABL2,0.8
SRC,1,CAV1,1
SRC,1,CDH5,1
SRC,1,FERMT2,1
SRC,1,SPTAN1,1
SRC,1,STAT1,1
STAT1,-1,HIF1A,1
STAT1,-1,MYC,1
STAT1,-1,RPS24,1
STAT1,1,MYD88,0.8
STK11,1,GSK3B,1
STK11,1,HDLBP,1
TCF7L2,1,GLI2,0.8
TCF7L2,1,LEF1,0.2
TCF7L2,1,MMP7,0.8
TCF7L2,1,MYC,0.8
TGFB1,-1,COL2A1,1
TGFB1,1,TGFBR2,1
TGFBR2,1,RUVBL1,1
TTF2,1,CDC5L,1
USF1,1,P4HA1,1
USF1,1,SERBP1,1
USF1,1,TGFB1,1
YY1,-1,IRAK1,0.2
YY1,1,MYC,0.2
